OID|DISBURSEMENT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
127748|504|Rent|2004-04-28|25000|85513|279327
127749|504|Rent|2004-06-01|25000|85513|279327
127750|504|Rent|2004-06-29|25000|85513|279327
127751|504|Rent|2004-07-27|25000|85513|279327
127752|504|Rent|2004-08-31|25000|85513|279327
127753|504|Rent|2004-09-28|25000|85513|279327
127754|504|Rent|2004-11-03|25000|85513|279327
127755|504|Rent|2004-11-23|25000|85513|279327
127756|504|Rent|2004-12-28|25000|85513|279327
127757|504|Rent|2004-01-07|25000|85513|279327
127758|505|Local election services|2004-12-06|15900|85514|279327
127759|505|Investment management fee|2004-02-18|24464|85515|279327
127760|505|Investment management fee|2004-04-28|6714|85515|279327
127761|505|Investment management fee|2004-09-10|6605|85515|279327
127762|505|Investment management fee|2004-11-09|6697|85515|279327
127763|505|Insurance|2004-03-17|7524|85516|279327
127764|505|Insurance|2004-03-30|7488|85517|279327
127765|505|Insurance|2004-10-19|11590|85518|279327
127766|505|Insurance|2004-10-26|5550|85518|279327
127767|505|Insurance|2004-11-03|28491|85518|279327
127768|505|Insurance|2004-11-09|5550|85518|279327
1218858|501|LEGAL REPRESENTATION|2004-12-31|1000|853639|463553
1218859|501|UNION EXPENSES & ACTIVITIES|2004-12-31|3165|853640|463553
1218860|501|LEGAL REPRESENTATION|2004-12-31|73023|853641|463553
1218861|501|LEGAL REPRESENTATION|2004-12-31|350|853642|463553
1218862|501|MEMBER COMMUNICATIONS & MEETING EXP|2004-12-31|4836|853643|463553
1218863|501|UNION ACTIVITIES|2004-12-31|290|853644|463553
1218864|503|MEMBER REWARDS & RECOGNITION|2004-12-31|534|853645|463553
1218865|504|RENT|2004-12-31|5960|853646|463553
1218866|504|PAYROLL TAXES|2004-12-31|1986|853647|463553
1218867|504|NYS UNEMPLOYMENT INSURANCE|2004-12-31|218|853648|463553
1218868|504|ACCOUNTING|2004-12-31|1410|853649|463553
1218869|504|POSTAGE, STATIONERY, OFFICE SUPPLIES|2004-12-31|2209|853650|463553
1218870|504|INSURANCE|2004-12-31|3575|853651|463553
1218871|504|INVESTMENT CUSTODIAL EXPENSE|2004-12-31|150|853652|463553
1218872|504|DUES & MEMBERSHIP|2004-12-31|300|853653|463553
1218873|504|EDUCATION|2004-12-31|302|853654|463553
1218874|504|TELEPHONE & CELL PHONES|2004-12-31|1383|853655|463553
1218875|504|GENERAL INSURANCE|2004-12-31|280|853656|463553
1218281|503|CONTRIBUTION, HEALTH CARE FOR DISADVANTAGED CHILDR|2004-05-31|50|853293|463367
1218282|503|CONTRIBUTION/CRIMINAL JUSTICE|2004-05-31|50|853294|463367
1218283|503|ATTORNEY FEES - L1074|2004-07-31|500|853295|463367
1218284|503|GIFT, SCHOOL SUPPLIES|2004-09-30|52|853296|463367
52713|504|LEGAL FEES|2004-03-17|5357|34383|269252
1218778|504|VARIOUS INSURANCE POLICIES|2004-08-11|19131|853580|463509
1219047|503|DONATION|2004-04-12|140|853676|463578
1219048|503|DONATION|2004-11-01|50|853676|463578
1219049|503|DONATION|2004-10-18|100|853677|463578
1219050|503|DONATION|2004-11-01|50|853678|463578
1219051|503|DONATION|2004-11-01|50|853679|463578
1219052|503|DONATION|2004-11-01|50|853680|463578
1219053|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1216|853681|463578
1219054|504|HEALTH & WELFARE CONTRIBUTION & LOCAL PENSION|2004-12-31|484|853681|463578
1219055|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1641|853681|463578
1219056|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1313|853681|463578
1219057|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1313|853681|463578
1219058|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1641|853681|463578
1219059|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1313|853681|463578
1219060|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1392|853681|463578
1219061|504|HEALTH & WELFARE CONTRIBUTION & LOCAL PENSION|2004-12-31|1743|853681|463578
1219062|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1396|853681|463578
1219063|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1396|853681|463578
1219064|504|HEALTH & WELFARE CONTRIBUTION & LOCAL PENSION|2004-12-31|1744|853681|463578
1219065|504|HEALTH & WELFARE CONTRIBUTION|2004-12-31|1396|853681|463578
1219066|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-01-19|914|853682|463578
1219067|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-02-23|914|853682|463578
1219068|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-03-15|914|853682|463578
1219069|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-04-16|1701|853682|463578
1219070|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-06-21|966|853682|463578
1219071|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-07-19|1028|853682|463578
1219072|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-08-17|1028|853682|463578
1219073|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-09-20|1028|853682|463578
1219074|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-10-18|1028|853682|463578
1219075|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-11-15|1028|853682|463578
1219076|504|INSURANCE BONDING FOR BUSINESS AGENTS & OFFICERS|2004-12-20|1028|853682|463578
1219077|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-01-12|800|853683|463578
1219078|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-02-13|1000|853683|463578
1219079|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-03-12|800|853683|463578
1219080|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-04-13|800|853683|463578
1219081|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-05-10|1000|853683|463578
1219082|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-06-08|800|853683|463578
1219083|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-07-12|800|853683|463578
1219084|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-08-10|1000|853683|463578
1219085|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-09-13|800|853683|463578
1219086|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-10-13|800|853683|463578
1219087|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-11-09|1000|853683|463578
1219088|504|VACATION WITHHOLDING PAY FOR MEMBERS|2004-12-15|800|853683|463578
1219089|504|INTERNATIONAL PER CAPITA TAX|2004-01-13|10994|853684|463578
1219090|504|INTERNATIONAL PER CAPITA TAX|2004-02-16|19415|853684|463578
1219091|504|INTERNATIONAL PER CAPITA TAX|2004-03-17|12908|853684|463578
1219092|504|INTERNATIONAL PER CAPITA TAX|2004-04-16|16320|853684|463578
1219093|504|INTERNATIONAL PER CAPITA TAX|2004-05-12|13810|853684|463578
1219094|504|INTERNATIONAL PER CAPITA TAX|2004-06-14|14594|853684|463578
1219095|504|INTERNATIONAL PER CAPITA TAX|2004-07-12|14547|853684|463578
1219096|504|INTERNATIONAL PER CAPITA TAX|2004-08-16|13945|853684|463578
1219097|504|INTERNATIONAL PER CAPITA TAX|2004-09-16|12302|853684|463578
1219098|504|INTERNATIONAL PER CAPITA TAX|2004-10-15|13739|853684|463578
1219099|504|INTERNATIONAL PER CAPITA TAX|2004-11-22|11240|853684|463578
1219100|504|LOCAL PENSION CONTRIBUTION|2004-01-12|1286|853685|463578
1219101|504|LOCAL PENSION CONTRIBUTION|2004-02-13|1068|853685|463578
1219102|504|LOCAL PENSION CONTRIBUTION|2004-03-12|1826|853685|463578
1219103|504|LOCAL PENSION CONTRIBUTION|2004-04-13|1287|853685|463578
1219104|504|LOCAL PENSION CONTRIBUTION|2004-05-10|1608|853685|463578
1219105|504|LOCAL PENSION CONTRIBUTION|2004-06-08|1286|853685|463578
1219106|504|LOCAL PENSION CONTRIBUTION|2004-07-12|1366|853685|463578
1219107|504|LOCAL PENSION CONTRIBUTION|2004-08-10|1820|853685|463578
1219108|504|LOCAL PENSION CONTRIBUTION|2004-09-13|1457|853685|463578
1219109|504|LOCAL PENSION CONTRIBUTION|2004-10-13|1457|853685|463578
1219110|504|LOCAL PENSION CONTRIBUTION|2004-11-09|1821|853685|463578
1219111|504|LOCAL PENSION CONTRIBUTION|2004-12-15|1457|853685|463578
1219112|504|BUSINESS OFFICE RENT|2004-02-01|1565|853686|463578
1219113|504|BUSINESS OFFICE RENT|2004-03-01|1565|853686|463578
1219114|504|BUSINESS OFFICE RENT|2004-04-05|1565|853686|463578
1219115|504|BUSINESS OFFICE RENT|2004-05-01|1565|853686|463578
1219116|504|BUSINESS OFFICE RENT|2004-06-01|1565|853686|463578
1219117|504|BUSINESS OFFICE RENT|2004-07-01|1565|853686|463578
1219118|504|BUSINESS OFFICE RENT|2004-08-01|1565|853686|463578
1219119|504|BUSINESS OFFICE RENT|2004-09-01|1565|853686|463578
1219120|504|BUSINESS OFFICE RENT|2004-10-01|1565|853686|463578
1219121|504|BUSINESS OFFICE RENT|2004-11-01|1565|853686|463578
1219122|504|BUSINESS OFFICE RENT|2004-12-01|1565|853686|463578
1219123|504|NATIONAL LEGISLATIVE CONFERENCE|2004-02-11|120|853687|463578
1219124|504|DUES ASSESSMENTS FOR LOCALS|2004-03-19|1865|853687|463578
1219125|504|DUES ASSESSMENTS FOR LOCALS|2004-04-05|1865|853687|463578
1219126|504|GOLF TOURNAMENT BANQUET|2004-06-22|360|853687|463578
1219127|504|AFFILIATED PER CAPITA TAX|2004-07-06|75|853687|463578
1219128|504|DUES ASSESSMENTS FOR LOCALS|2004-07-06|1865|853687|463578
1219129|504|AFFILIATES PER CAPITA TAX|2004-09-02|75|853687|463578
1219130|504|AFFILIATES PER CAPITA TAX|2004-10-11|2488|853687|463578
1219131|504|INTERNATIONAL PENSION CONTRIBUTION|2004-01-12|3607|853688|463578
1219132|504|INTERNATIONAL PENSION CONTRIBUTION|2004-02-13|3658|853688|463578
1219133|504|INTERNATIONAL PENSION CONTRIBUTION|2004-03-12|3607|853688|463578
1219134|504|INTERNATIONAL PENSION CONTRIBUTION|2004-04-13|3607|853688|463578
1219135|504|INTERNATIONAL PENSION CONTRIBUTION|2004-05-10|4190|853688|463578
1219136|504|INTERNATIONAL PENSION CONTRIBUTION|2004-06-08|3182|853688|463578
1219137|504|INTERNATIONAL PENSION CONTRIBUTION|2004-07-12|3288|853688|463578
1219138|504|INTERNATIONAL PENSION CONTRIBUTION|2004-08-10|4564|853688|463578
1219139|504|INTERNATIONAL PENSION CONTRIBUTION|2004-09-13|3651|853688|463578
1219140|504|INTERNATIONAL PENSION CONTRIBUTION|2004-10-13|2800|853688|463578
1219141|504|INTERNATIONAL PENSION CONTRIBUTION|2004-11-09|4564|853688|463578
1219142|504|INTERNATIONAL PENSION CONTRIBUTION|2004-12-15|3651|853688|463578
50303|504|ATTORNEYS FEES|2004-12-07|5535|32301|267876
50304|504|ORGANIZING INSTITUTE STAFF SUPPORT|2004-11-09|6888|32302|267876
50305|504|ORGANZING INSTITUTE STAFF SUPPORT|2004-11-23|6888|32302|267876
50306|504|ORGANZING INSTITUTE STAFF SUPPORT|2004-12-07|6888|32302|267876
50307|504|REIMBURSEMENT LODGING - STAFF|2004-11-09|9889|32303|267876
50308|504|LEGAL EXPENSES / ATTORNEY FEES|2004-11-09|5740|32304|267876
50309|505|AMERICA VOTES|2004-10-25|11170|32305|267876
1220260|501|ARBITRATION|2004-12-31|7559|854396|463978
1220261|501|COMMITTEE|2004-12-31|1168|854396|463978
1220262|501|DUES REIMBURSEMENT|2004-12-31|288|854396|463978
1220263|501|MEETING EXPENSE|2004-12-31|2048|854396|463978
1220264|501|OFFICER SALARY|2004-12-31|8224|854396|463978
1220265|501|OTHER WAGES|2004-12-31|13314|854396|463978
1220266|503|BIBLE|2004-12-31|372|854397|463978
1220267|503|DISASTER RELIEF FUND|2004-12-31|500|854397|463978
1220268|503|DONATION EDUCATIONAL FUND|2004-12-31|730|854397|463978
1220269|503|SCHOLARSHIP|2004-12-31|365|854397|463978
1220270|503|OTHER|2004-12-31|150|854397|463978
1220271|504|BANK CHARGE|2004-12-31|116|854398|463978
1220272|504|NEWSLETTER|2004-12-31|189|854398|463978
1220273|504|OCCUPATIONAL LICENSE|2004-12-31|63|854398|463978
1220274|504|SUPPLIES|2004-12-31|3685|854398|463978
1220275|504|SOFTWARE|2004-12-31|40|854398|463978
1220276|504|OFFICE EQUIPMENT|2004-12-31|5226|854398|463978
1220277|504|RENT|2004-12-31|7525|854398|463978
1220278|504|TAX PREPARATION|2004-12-31|400|854398|463978
1220279|504|UTILITIES|2004-12-31|3817|854398|463978
1220280|505|OFFICER SUPPLIES|2004-12-31|112|854399|463978
52758|505|Listing Local Members in the 2005 TX Prod Manual|2004-12-30|22080|34420|269256
1218264|504|BANK CHARGES|2004-12-31|322|853282|463351
1218265|504|JANITORIAL|2004-12-31|3600|853282|463351
1218266|504|SURETY BOND|2004-12-31|2400|853282|463351
1218267|504|LEGAL AND ACCOUNTING|2004-12-31|85479|853283|463351
1218268|504|RENT|2004-12-31|19670|853284|463351
1218269|504|OFFICE EXPENSES|2004-12-31|44848|853284|463351
1218270|504|MEETINGS AND CONFERENCES|2004-12-31|76130|853284|463351
1218271|505|DUES AND SUBSCRIPTIONS|2004-12-31|15401|853285|463351
1218272|505|INSURANCE|2004-12-31|7646|853285|463351
1218273|505|EQUIPMENT MAINT|2004-12-31|5511|853285|463351
1218274|505|TELEPHONE|2004-12-31|9754|853285|463351
1218275|505|POSTAGE|2004-12-31|7000|853286|463351
1218276|505|UTILITIES|2004-12-31|5145|853286|463351
1218277|505|SCHOLARSHIP FUND|2004-12-31|1722|853286|463351
1218278|505|EMPLOYEE PER DIEM|2004-12-31|64989|853287|463351
1218688|501|Targeted fnds for contractors|2004-01-20|12500|853527|463507
1218689|501|Targeted fnds for contractors|2004-01-30|7500|853528|463507
1218690|501|Targeted fnds for contractors|2004-03-12|7500|853528|463507
1218691|501|Targeted fnds for contractors|2004-10-19|15000|853528|463507
1218692|501|Targeted fnds for contractors|2004-02-24|50000|853529|463507
1218693|501|Targeted fnds for contractors|2004-02-24|18750|853530|463507
1218694|501|Targeted fnds for contractors|2004-05-25|18750|853530|463507
1218695|501|Targeted fnds for contractors|2004-07-07|18750|853530|463507
1218696|501|Targeted fnds for contractors|2004-09-07|37500|853530|463507
1218697|501|Targeted fnds for contractors|2004-10-12|18750|853530|463507
1218698|501|Targeted fnds for contractors|2004-03-01|17500|853531|463507
1218699|501|Targeted fnds for contractors|2004-08-10|8750|853531|463507
1218700|501|Targeted fnds for contractors|2004-09-22|8750|853531|463507
1218701|501|Targeted fnds for contractors|2004-12-21|17500|853531|463507
1218702|501|Targeted fnds for contractors|2004-03-12|12500|853532|463507
1218703|501|Targeted fnds for contractors|2004-03-12|22500|853532|463507
1218704|501|Targeted fnds for contractors|2004-05-25|12500|853532|463507
1218705|501|Targeted fnds for contractors|2004-06-01|12500|853532|463507
1218706|501|Targeted fnds for contractors|2004-06-08|22500|853532|463507
1218707|501|Targeted fnds for contractors|2004-07-07|22500|853532|463507
1218708|501|Targeted fnds for contractors|2004-09-28|12500|853532|463507
1218709|501|Targeted fnds for contractors|2004-10-05|22500|853532|463507
1218710|501|Targeted fnds for contractors|2004-09-10|35000|853533|463507
1218711|501|Targeted fnds for contractors|2004-09-10|15000|853534|463507
1218712|501|Targeted fnds for contractors|2004-10-05|30000|853534|463507
1218713|501|Targeted fnds for contractors|2004-11-03|15000|853534|463507
1218714|501|Targeted fnds for contractors|2004-09-22|31875|853535|463507
1218715|502|Political cont thru COPE|2004-01-06|10000|853536|463507
1218716|502|Political cont thru COPE|2004-09-08|27000|853536|463507
1218717|502|Political cont thru COPE|2004-01-06|7000|853537|463507
1218718|502|Political cont thru COPE|2004-01-12|10000|853538|463507
1218719|502|Political cont thru COPE|2004-02-06|24000|853539|463507
1218720|502|Political cont thru COPE|2004-02-18|5000|853540|463507
1218721|502|Political cont thru COPE|2004-04-13|7200|853541|463507
1218722|502|Political cont thru COPE|2004-07-15|5000|853542|463507
1218723|502|Political cont thru COPE|2004-07-15|7200|853543|463507
1218724|502|Political cont thru COPE|2004-08-04|7200|853544|463507
1218725|502|Political cont thru COPE|2004-08-05|10000|853545|463507
1218726|502|Political cont thru COPE|2004-08-16|10000|853546|463507
1218727|502|Political contribution thru COPE|2004-08-17|6000|853547|463507
1218728|502|Political cont thru COPE|2004-09-22|75000|853548|463507
1218729|502|Sweatshirts for election day|2004-10-14|13252|853549|463507
1218730|502|Political cont thru COPE|2004-11-05|5000|853550|463507
1218731|503|Stickers and letters of assent|2004-07-07|5250|853551|463507
1218732|503|Christmas Party|2004-01-01|5000|853552|463507
1218733|503|Christmas Party|2004-12-18|5300|853552|463507
1218734|504|Computer consulting|2004-04-28|6922|853553|463507
1218735|504|Computer consulting|2004-07-27|5131|853553|463507
1218736|504|Computer consulting|2004-11-24|5359|853553|463507
1218737|504|Computer consulting|2004-12-28|7975|853553|463507
1218738|504|Accounting|2004-03-12|5400|853555|463507
1218739|504|Accounting|2004-03-12|8800|853555|463507
1218740|504|Accounting|2004-10-19|5000|853555|463507
1218741|504|Accounting|2004-11-23|5040|853555|463507
1218742|504|Annual dinner|2004-03-23|72000|853556|463507
1218743|504|Annual dinner|2004-03-23|50760|853556|463507
1218744|504|Annual dinner|2004-12-17|34250|853557|463507
1218745|504|Picnic|2004-03-09|8046|853558|463507
1218746|504|Picnic|2004-06-01|8646|853558|463507
1218747|504|Picnic|2004-07-13|8646|853558|463507
1218748|504|Golf Tournment|2004-09-02|25404|853559|463507
1218749|504|Postage|2004-04-13|5000|853560|463507
1218750|504|Postage|2004-05-25|5000|853560|463507
1218751|504|Postage|2004-10-26|5000|853560|463507
1218752|504|Rent|2004-01-26|25000|853561|463507
1218753|504|Rent|2004-03-09|25000|853561|463507
1218754|504|Rent|2004-03-30|25000|853561|463507
1218755|504|Rent|2004-04-28|25000|853561|463507
1218756|504|Rent|2004-06-01|25000|853561|463507
1218757|504|Rent|2004-06-29|25000|853561|463507
1218758|504|Rent|2004-07-27|25000|853561|463507
1218759|504|Rent|2004-08-31|25000|853561|463507
1218760|504|Rent|2004-09-28|25000|853561|463507
1218761|504|Rent|2004-11-03|25000|853561|463507
1218762|504|Rent|2004-11-23|25000|853561|463507
1218763|504|Rent|2004-12-28|25000|853561|463507
1218764|504|Rent|2004-01-07|25000|853561|463507
1218765|505|Local election services|2004-12-06|15900|853562|463507
1218766|505|Investment management fee|2004-02-18|24464|853563|463507
1218767|505|Investment management fee|2004-04-28|6714|853563|463507
1218768|505|Investment management fee|2004-09-10|6605|853563|463507
1218769|505|Investment management fee|2004-11-09|6697|853563|463507
1218770|505|Insurance|2004-03-17|7524|853564|463507
1218771|505|Insurance|2004-03-30|7488|853565|463507
1218772|505|Insurance|2004-10-19|11590|853566|463507
1218773|505|Insurance|2004-10-26|5550|853566|463507
1218774|505|Insurance|2004-11-03|28491|853566|463507
1218775|505|Insurance|2004-11-09|5550|853566|463507
7|501|ARBITRATION COSTS|2004-12-31|6632|27|224377
8|501|OFFICE RENT|2004-12-31|5048|28|224377
9|504|RENT|2004-12-31|6310|34|224377
10|505|AUDIT AND REVIEW SERVICES|2004-12-31|13300|37|224377
11|505|REPAYMENT OF PRESIDENT SALARY|2004-12-31|18231|38|224377
1220489|502|Contribution|2004-01-16|2000|854574|464107
1220490|502|Contribution|2004-01-16|1000|854575|464107
1220491|502|Contribution|2004-01-16|1000|854576|464107
1220492|503|Supporter|2004-01-28|500|854577|464107
1220493|504|N/A|2004-12-01|1109100|854578|464107
1218429|504|INSURANCE|2004-12-31|12233|853384|463446
1218430|504|MISCELLANEOUS EXPENSES|2004-12-31|2836|853384|463446
1218431|504|OFFICE SUPPLIES|2004-12-31|11490|853384|463446
1218432|504|REPAIRS AND MAINTENANCE|2004-12-31|2021|853384|463446
1218433|504|TELEPHONES|2004-12-31|6291|853384|463446
1218434|504|UTILITIES|2004-12-31|3836|853384|463446
1218435|505|CONVENTION MEETING EXPENSES|2004-12-31|2254|853385|463446
1218436|505|TRAVEL|2004-12-31|19383|853385|463446
1218437|505|PROFESSIONAL|2004-12-31|7693|853385|463446
1218438|505|DEFENSE|2004-12-31|15576|853385|463446
1218439|505|SCHOLARSHIP|2004-12-31|500|853385|463446
1218440|505|CALIFORNIA SUBSIDY|2004-12-31|3600|853385|463446
1217407|504|Accounting Services|2004-10-01|7800|852736|461787
145|503|PROJECT ASSISTANCE GRANT|2004-01-06|7675|145|228896
146|503|PROJECT ASSISTANCE GRANT|2004-03-01|4329|145|228896
147|503|PROJECT ASSISTANCE GRANT|2004-03-19|3957|145|228896
148|503|PROJECT ASSISTANCE GRANT|2004-04-23|46|145|228896
149|503|PROJECT ASSISTANCE GRANT|2004-01-07|9700|146|228896
150|503|PROJECT ASSISTANCE GRANT|2004-02-27|4168|147|228896
151|503|PROJECT ASSISTANCE GRANT|2004-08-13|1452|147|228896
152|504|PURCHASE JACKETS|2004-08-04|12038|149|228896
1218297|504|RENT|2003-07-17|725|853322|463379
1218298|504|RENT|2003-08-15|725|853322|463379
1218299|504|RENT|2003-09-23|725|853322|463379
1218300|504|RENT|2003-10-14|725|853322|463379
1218301|504|RENT|2003-11-06|725|853322|463379
1218302|504|RENT|2003-12-15|725|853322|463379
1218303|504|RENT|2004-01-15|725|853322|463379
1218304|504|RENT|2004-02-13|725|853322|463379
1218305|504|RENT|2004-03-04|725|853322|463379
1218306|504|RENT|2004-04-08|725|853322|463379
1218307|504|RENT|2004-05-06|725|853322|463379
1218308|504|RENT|2004-06-14|725|853322|463379
153|503|contribution|2004-09-29|5000|152|229016
154|503|Scholarship|2004-12-31|0|153|229016
155|503|scholarship|2004-12-31|0|154|229016
156|503|scholarship|2004-12-31|0|155|229016
157|503|scholarship|2004-09-29|0|156|229016
158|503|scholarship|2004-09-29|0|157|229016
159|504|promotional items|2004-09-01|7894|159|229016
160|504|real estate taxes|2004-10-15|7839|165|229016
161|504|website design|2004-08-01|5000|166|229016
162|504|accounting|2004-12-15|10125|168|229016
163|504|union liability insurance|2004-09-01|34532|170|229016
164|505|Union meeting|2004-11-01|14204|171|229016
165|505|convention|2004-12-08|8503|172|229016
166|505|Union meeting|2004-12-15|10961|173|229016
1219211|501|BANQUET|2004-06-02|215|853735|463651
1219212|501|BANQUET|2004-07-09|226|853735|463651
1219213|501|BANQUET|2004-08-05|243|853735|463651
1219214|501|BANQUET|2004-09-17|344|853735|463651
1219215|501|BANQUET|2004-12-03|329|853735|463651
1219216|501|INTERNET SERVICE|2004-01-07|44|853736|463651
1219217|501|INTERNET SERVICE|2004-01-08|45|853736|463651
1219218|501|INTERNET SERVICE|2004-07-01|44|853736|463651
1219219|501|INTERNET SERVICE|2004-10-05|45|853736|463651
1219220|501|REFUND F. GASHLER|2004-01-21|599|853737|463651
1219221|501|REFUND F. GASHLER|2004-03-19|150|853737|463651
1219222|501|REFUND R.D. WOLTER|2004-07-15|81|853737|463651
1219223|501|REFUND A.R. DUNIVAN|2004-07-15|89|853737|463651
1219224|501|REFUND R.G. RIOS|2004-08-31|67|853737|463651
1219225|501|REFUND A.R. DUNIVAN|2004-08-31|63|853737|463651
1219226|501|MEMBER CONTRIBUTION|2004-01-20|1144|853738|463651
1219227|501|MEMBER CONTRIBUTION|2004-02-17|1158|853738|463651
1219228|501|MEMBER CONTRIBUTION|2004-03-03|1170|853738|463651
1219229|501|MEMBER CONTRIBUTION|2004-04-08|1162|853738|463651
1219230|501|MEMBER CONTRIBUTION|2004-05-13|1152|853738|463651
1219231|501|MEMBER CONTRIBUTION|2004-06-03|1152|853738|463651
1219232|501|MEMBER CONTRIBUTION|2004-07-07|1176|853738|463651
1219233|501|MEMBER CONTRIBUTION|2004-08-11|1143|853738|463651
1219234|501|MEMBER CONTRIBUTION|2004-09-15|1152|853738|463651
1219235|501|MEMBER CONTRIBUTION|2004-10-07|1151|853738|463651
1219236|501|MEMBER CONTRIBUTION|2004-11-11|1126|853738|463651
1219237|501|MEMBER CONTRIBUTION|2004-12-09|1149|853738|463651
1219238|501|MEETINGS PLACE ALL YEAR|2004-12-31|495|853739|463651
1219239|503|UTU SUMMER PICNIC|2004-05-27|500|853740|463651
1219240|503|ZELMANS FLOWERS|2004-09-20|50|853740|463651
1219241|504|RENT FOR YEAR|2004-12-31|2131|853741|463651
1219242|504|YEARLY TELEPHONE SERVICE|2004-12-31|1376|853742|463651
1219243|505|POSTAGE ALL YEAR|2004-12-31|325|853743|463651
1219244|505|BONDING/SUPPLIES|2004-02-14|605|853744|463651
514|505|Office Rental|2004-01-01|1000|329|229933
515|505|Office Rental|2004-02-01|1200|329|229933
516|505|Office Rental|2004-03-01|1200|329|229933
517|505|Office Rental|2004-04-01|1200|329|229933
518|505|Office Rental|2004-05-01|1200|329|229933
519|505|Office Rental|2004-06-01|1200|329|229933
520|505|Office Rental|2004-07-01|1200|329|229933
521|505|Office Rental|2004-08-01|1200|329|229933
522|505|Office Rental|2004-09-01|1200|329|229933
523|505|Office Rental|2004-10-01|1200|329|229933
524|505|Office Rental|2004-11-01|1200|329|229933
525|505|Office Rental|2004-12-01|1200|329|229933
1219270|504|LEGAL FEES|2004-01-13|500|853766|463663
1219271|504|LEGAL FEES|2004-04-16|16000|853766|463663
1219182|503|ORGANIZING DUES|2004-09-17|8409|853715|463642
1219183|503|ORGANIZING DUES|2004-10-29|17955|853715|463642
1218428|501|LEGAL FEES|2004-03-15|9730|853378|463438
1217449|503|JAIL AND BAIL|2004-01-26|250|852744|461836
1217450|503|MEMORIAL|2004-04-21|25|852745|461836
1217451|503|RELAY FOR LIFE|2004-05-20|250|852746|461836
1217452|503|ROOF SIT|2004-08-24|300|852747|461836
1217453|503|RETIREE DONATION|2004-10-22|50|852748|461836
1217454|503|HOLIDAY DONATION|2004-12-12|250|852748|461836
1217455|503|CHRISTMAS DRIVE|2004-12-12|250|852749|461836
1217456|503|HOLIDAY DONATION|2004-12-12|250|852750|461836
1217457|503|SOUP BOWL CONTRIBUTION|2004-12-12|250|852751|461836
1217458|503|CHRISTMAS DONATION|2004-12-12|250|852752|461836
1217459|503|CHRISTMAS LUNCHEON|2004-12-14|300|852753|461836
1217460|503|ANNUAL FISH FRY|2004-03-23|300|852754|461836
105|501|POLITICAL EDUCATION|2004-12-31|6387|112|227926
106|501|OTHER PAYMENT|2004-12-31|424|112|227926
107|502|TO OFFICERS FOR LOBBYING|2004-12-31|390|113|227926
108|502|TO EMPLOYEES FOR LOBBYING|2004-12-31|406|113|227926
109|502|OTHER DISPERSMENTS|2004-12-31|5592|113|227926
110|503|DONATION FOR CHRISTMAS|2004-12-16|3131|114|227926
111|504|TO EMPLOYEES|2004-12-31|1944|115|227926
112|504|OTHER DISPERSMENTS|2004-12-31|7246|115|227926
113|505|TO OFFICERS|2004-12-31|0|116|227926
114|505|TO EMPLOYEES|2004-12-31|0|116|227926
115|505|OTHER DISPERSMENTS|2004-12-31|0|116|227926
1219275|501|Negotiations|2004-12-24|6411|853772|463670
1219276|501|Lost time wages|2004-11-26|15489|853773|463670
1219277|503|Political education to members|2004-10-19|7500|853774|463670
1219278|504|General Expense|2004-12-31|15351|853781|463671
1219279|505|Office and Administration Expense|2004-12-31|40670|853782|463671
126893|501|Stephen M. Newberry, President binders, paper|2004-12-15|133|85030|278610
